"Time (s)","Magnetic Field x (µT)","Magnetic Field y (µT)","Magnetic Field z (µT)","Absolute field (µT)"
1.715384950E1,-4.038713837E1,2.021987152E1,4.105156422E0,4.535213842E1
1.716389850E1,-4.041758728E1,2.018308640E1,4.165105343E0,4.536834183E1
1.717394750E1,-4.040813446E1,2.016282463E1,4.254529476E0,4.535920908E1
1.718399650E1,-4.037904739E1,2.017130280E1,4.293920040E0,4.534078378E1
1.719404550E1,-4.036397934E1,2.026152420E1,4.250256538E0,4.536347508E1
1.720409450E1,-4.039334488E1,2.025436783E1,4.216019154E0,4.538321875E1
1.721414350E1,-4.037601471E1,2.018044853E1,4.223751545E0,4.533556158E1
1.722419250E1,-4.039949036E1,2.012258148E1,4.190824509E0,4.532769701E1
1.723424150E1,-4.042317581E1,2.019158173E1,4.115891457E0,4.537260933E1
1.724429150E1,-4.038078308E1,2.012168884E1,4.185047626E0,4.531009410E1
1.725434050E1,-4.041423035E1,2.017495346E1,4.171250820E0,4.536229817E1
1.726438950E1,-4.038459015E1,2.018508148E1,4.075968266E0,4.533173450E1
1.727443850E1,-4.042967987E1,2.027281570E1,4.081008434E0,4.541146002E1
1.728448750E1,-4.041254425E1,2.020241165E1,4.138955116E0,4.537005751E1
1.729453650E1,-4.039781189E1,2.017857552E1,4.074570656E0,4.534049229E1
1.730458550E1,-4.034825134E1,2.018391800E1,4.152503490E0,4.530579673E1
1.731463450E1,-4.034774780E1,2.022595978E1,4.195566177E0,4.532805949E1
1.732468350E1,-4.039909363E1,2.027000809E1,4.141922474E0,4.538849541E1
1.733473250E1,-4.038399506E1,2.028403854E1,4.130082607E0,4.538024745E1
1.734478250E1,-4.034471130E1,2.027730179E1,4.228678703E0,4.535136626E1
1.735483150E1,-4.037450027E1,2.020233536E1,4.231054783E0,4.534464082E1
1.736488050E1,-4.037596893E1,2.022126770E1,4.277370930E0,4.535873055E1
1.737492950E1,-4.041580582E1,2.021855545E1,4.235329151E0,4.538904446E1
1.738497850E1,-4.044744873E1,2.014641571E1,4.154800415E0,4.537770974E1
1.739502775E1,-4.040969849E1,2.024538040E1,4.071941376E0,4.538061112E1
1.740507675E1,-4.047459412E1,2.028171349E1,4.131036282E0,4.545993985E1
1.741512575E1,-4.049436951E1,2.026798248E1,4.226101398E0,4.548016061E1
1.742517475E1,-4.052933502E1,2.026930618E1,4.207714558E0,4.551018163E1
1.743522475E1,-4.052128220E1,2.035100555E1,4.216082573E0,4.554023595E1
1.744527375E1,-4.052506256E1,2.034738159E1,4.242556095E0,4.554443891E1
1.745532275E1,-4.048406601E1,2.038811493E1,4.240604401E0,4.552600967E1
1.746537175E1,-4.045889282E1,2.038925171E1,4.282424927E0,4.550805156E1
1.747542075E1,-4.046925354E1,2.039448738E1,4.224945545E0,4.551423692E1
1.748546975E1,-4.049659729E1,2.037751770E1,4.226892471E0,4.553113484E1
1.749551875E1,-4.055239868E1,2.035849762E1,4.168478489E0,4.556689234E1
1.750556775E1,-4.055812836E1,2.039002419E1,4.223887920E0,4.559118436E1
1.751561675E1,-4.051832199E1,2.036235237E1,4.222388744E0,4.554325831E1
1.752566675E1,-4.050507355E1,2.024474907E1,4.274227619E0,4.548384185E1
1.753571575E1,-4.049947739E1,2.025305367E1,4.277192116E0,4.548283439E1
1.754576475E1,-4.046007156E1,2.027051353E1,4.250167370E0,4.545299806E1
1.755581375E1,-4.045666122E1,2.026584435E1,4.198888302E0,4.544311331E1
1.756586275E1,-4.041915512E1,2.027972031E1,4.238044262E0,4.541955719E1
1.757591175E1,-4.044607544E1,2.029356003E1,4.208613873E0,4.544695840E1
1.758596075E1,-4.048027420E1,2.032797623E1,4.203435898E0,4.549228605E1
1.759600975E1,-4.047068787E1,2.037808609E1,4.301330566E0,4.551532065E1
1.760605875E1,-4.039475250E1,2.021757126E1,4.219019890E0,4.536834079E1
1.761610875E1,-4.043290710E1,2.023562622E1,4.183211803E0,4.540704578E1
1.762615775E1,-4.045494461E1,2.028710175E1,4.204949856E0,4.545162972E1
1.763620675E1,-4.046198273E1,2.026225853E1,4.219378471E0,4.544814982E1
1.764625575E1,-4.043174744E1,2.021728706E1,4.206881523E0,4.540003028E1
1.765630475E1,-4.039685059E1,2.019887733E1,4.218192577E0,4.536180476E1
