"Time (s)","Magnetic Field x (µT)","Magnetic Field y (µT)","Magnetic Field z (µT)","Absolute field (µT)"
2.502215958E0,1.136821747E0,2.332814026E1,-4.081245422E1,4.702287647E1
2.512264958E0,1.166932106E0,2.325477028E1,-4.077430725E1,4.695412871E1
2.522313958E0,1.188579559E0,2.327951813E1,-4.081975555E1,4.700639456E1
2.532362958E0,1.202457428E0,2.325994682E1,-4.083818054E1,4.701306223E1
2.542411958E0,1.212029457E0,2.334970665E1,-4.082100677E1,4.704287842E1
2.552460958E0,1.160293579E0,2.340195465E1,-4.091030884E1,4.714500113E1
2.562509958E0,1.184604645E0,2.333000946E1,-4.093408203E1,4.713058138E1
2.572558958E0,1.131311417E0,2.339753723E1,-4.092945862E1,4.715872344E1
2.582607958E0,1.146883011E0,2.339485931E1,-4.085684204E1,4.709475899E1
2.592656958E0,1.176596642E0,2.339012146E1,-4.092998505E1,4.715660969E1
2.602705958E0,1.278253555E0,2.335303497E1,-4.101063538E1,4.721091387E1
2.612754958E0,1.177962303E0,2.327935028E1,-4.091403961E1,4.708794306E1
2.622803958E0,1.151885986E0,2.326396942E1,-4.095108032E1,4.711188910E1
2.632852958E0,1.160380363E0,2.329113007E1,-4.098651123E1,4.715630737E1
2.642901958E0,1.207116127E0,2.332109451E1,-4.099120331E1,4.717636407E1
2.652951083E0,1.252947807E0,2.324886703E1,-4.099355316E1,4.714394020E1
2.663001083E0,1.235044479E0,2.331032181E1,-4.098708344E1,4.716818256E1
2.673050083E0,1.219120979E0,2.330092621E1,-4.099770355E1,4.717235541E1
2.683099083E0,1.200474739E0,2.330971527E1,-4.094939423E1,4.713424289E1
2.693148083E0,1.173805237E0,2.333739853E1,-4.090129852E1,4.710550084E1
2.703197083E0,1.226296425E0,2.338810349E1,-4.085629272E1,4.709292774E1
2.713246083E0,1.203640938E0,2.341749954E1,-4.092428589E1,4.716593275E1
2.723295083E0,1.179912567E0,2.350488663E1,-4.099645996E1,4.727136150E1
2.733344083E0,1.202239990E0,2.347175026E1,-4.108480072E1,4.733211691E1
2.743393083E0,1.235873222E0,2.337598419E1,-4.105079651E1,4.725602516E1
2.753442083E0,1.213898659E0,2.334401321E1,-4.103307343E1,4.722424820E1
2.763491083E0,1.182374001E0,2.330997086E1,-4.093772125E1,4.712377076E1
2.773540083E0,1.195014954E0,2.324121475E1,-4.102407074E1,4.716520438E1
2.783589083E0,1.207029343E0,2.320412636E1,-4.106658936E1,4.718424696E1
2.793638083E0,1.169153214E0,2.324579239E1,-4.109479523E1,4.722833871E1
2.803687083E0,1.116663933E0,2.322614670E1,-4.116771698E1,4.728088144E1
2.813736083E0,1.158258438E0,2.318272209E1,-4.105758667E1,4.716466463E1
2.823785083E0,1.169190407E0,2.319581985E1,-4.095383453E1,4.708109629E1
2.833834083E0,1.173950195E0,2.324432373E1,-4.095275879E1,4.710419511E1
2.843883083E0,1.146890640E0,2.327644539E1,-4.101760864E1,4.717576165E1
2.853933083E0,1.206683159E0,2.324985886E1,-4.093586731E1,4.709307012E1
2.863982083E0,1.225544930E0,2.318470001E1,-4.085453033E1,4.699068976E1
2.874031083E0,1.262220383E0,2.319089127E1,-4.078036499E1,4.693025471E1
2.884080083E0,1.188681602E0,2.313170815E1,-4.091655731E1,4.701758764E1
2.894129083E0,1.194878578E0,2.310717010E1,-4.090794373E1,4.699817980E1
2.904178083E0,1.213987350E0,2.308525085E1,-4.082290649E1,4.691388139E1
2.914227083E0,1.249238014E0,2.304755402E1,-4.075436401E1,4.683661525E1
2.924276083E0,1.270492554E0,2.308964729E1,-4.080123138E1,4.689868277E1
2.934325083E0,1.237680435E0,2.309327698E1,-4.096183777E1,4.703938188E1
2.944374083E0,1.205636978E0,2.305845070E1,-4.102448273E1,4.707604372E1
2.954423083E0,1.215346336E0,2.301342201E1,-4.109780884E1,4.711819766E1
2.964472083E0,1.229277611E0,2.301822472E1,-4.109951782E1,4.712239550E1
2.974521083E0,1.206464767E0,2.303175354E1,-4.113844299E1,4.716236551E1
2.984570083E0,1.173621178E0,2.306219482E1,-4.117737579E1,4.721036426E1
2.994619083E0,1.206922531E0,2.310618210E1,-4.111060333E1,4.717450603E1
3.004668083E0,1.199447632E0,2.311884308E1,-4.106035614E1,4.713674179E1
3.014717083E0,1.180465698E0,2.313819885E1,-4.104839325E1,4.713534060E1
3.024766083E0,1.254445076E0,2.316132545E1,-4.104347229E1,4.714432359E1
3.034815083E0,1.244127274E0,2.315769005E1,-4.100649261E1,4.711007215E1
3.044864083E0,1.272661209E0,2.315864182E1,-4.107611847E1,4.717191819E1
3.054913083E0,1.214598656E0,2.319739151E1,-4.097212982E1,4.709893465E1
3.064963083E0,1.206883430E0,2.319933891E1,-4.086357117E1,4.700529058E1
3.075012083E0,1.207242012E0,2.319493675E1,-4.086988831E1,4.700861936E1
3.085061083E0,1.278199196E0,2.312147522E1,-4.094062042E1,4.703584601E1
3.095110083E0,1.248476028E0,2.309686661E1,-4.093827057E1,4.702090957E1
3.105159083E0,1.243345261E0,2.310030937E1,-4.088125610E1,4.697283578E1
3.115208083E0,1.212772369E0,2.306729698E1,-4.088294220E1,4.695727813E1
3.125257083E0,1.199213028E0,2.307242966E1,-4.087047577E1,4.694859861E1
